date,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,ARPT_ID
2023-01-01 00:00:00+00:00,41.40940694,-81.85469111,3.0,9.933001,2.533,0.0,0.0,0.0,22.473343,43.199997,236.90825,CLE
2023-01-02 00:00:00+00:00,41.40940694,-81.85469111,51.0,8.383,5.283,0.2,0.0,2.0,10.948973,19.44,102.52879,CLE
2023-01-03 00:00:00+00:00,41.40940694,-81.85469111,63.0,15.683001,5.783,19.5,0.0,17.0,20.608229,36.36,175.41397,CLE
2023-01-04 00:00:00+00:00,41.40940694,-81.85469111,65.0,14.933001,11.683001,20.5,0.0,9.0,20.49156,37.079998,203.19862,CLE
2023-01-05 00:00:00+00:00,41.40940694,-81.85469111,3.0,9.733001,0.683,0.0,0.0,0.0,23.441502,48.239998,223.4602,CLE
2023-01-06 00:00:00+00:00,41.40940694,-81.85469111,71.0,5.683,-0.067,1.4000001,0.14,10.0,20.265795,40.32,251.79279,CLE
2023-01-07 00:00:00+00:00,41.40940694,-81.85469111,71.0,1.8330001,-0.317,0.3,0.07,3.0,17.447933,34.92,270.1544,CLE
2023-01-08 00:00:00+00:00,41.40940694,-81.85469111,71.0,2.7329998,-2.5170002,0.2,0.14,2.0,13.849476,30.239998,26.090479,CLE
2023-01-09 00:00:00+00:00,41.40940694,-81.85469111,3.0,3.6829998,-2.467,0.0,0.0,0.0,17.0763,35.28,259.52582,CLE
2023-01-10 00:00:00+00:00,41.40940694,-81.85469111,3.0,6.133,-1.767,0.0,0.0,0.0,17.873556,32.399998,192.83128,CLE
2023-01-11 00:00:00+00:00,41.40940694,-81.85469111,3.0,8.833,-0.21700001,0.0,0.0,0.0,17.49615,30.599998,153.69571,CLE
2023-01-12 00:00:00+00:00,41.40940694,-81.85469111,63.0,8.083,2.533,17.4,0.0,12.0,30.018473,51.839996,118.76748,CLE
2023-01-13 00:00:00+00:00,41.40940694,-81.85469111,73.0,2.583,-1.367,10.599999,4.27,24.0,29.07989,58.679996,333.6997,CLE
2023-01-14 00:00:00+00:00,41.40940694,-81.85469111,73.0,-1.367,-3.8170002,2.7999992,1.9600005,15.0,27.047956,52.92,339.09735,CLE
2023-01-15 00:00:00+00:00,41.40940694,-81.85469111,3.0,1.683,-6.217,0.0,0.0,0.0,10.195057,24.84,304.9355,CLE
2023-01-16 00:00:00+00:00,41.40940694,-81.85469111,3.0,8.033,-8.217,0.0,0.0,0.0,17.068707,34.56,151.96207,CLE
2023-01-17 00:00:00+00:00,41.40940694,-81.85469111,61.0,12.183001,2.883,7.0,0.0,8.0,27.908709,54.36,201.37408,CLE
2023-01-18 00:00:00+00:00,41.40940694,-81.85469111,3.0,6.133,2.283,0.0,0.0,0.0,24.288662,45.36,265.66318,CLE
2023-01-19 00:00:00+00:00,41.40940694,-81.85469111,63.0,13.983001,2.083,13.9,0.0,10.0,27.558228,54.719997,156.84262,CLE
2023-01-20 00:00:00+00:00,41.40940694,-81.85469111,73.0,8.083,1.183,6.2999997,1.33,14.0,31.624725,63.0,252.8669,CLE
2023-01-21 00:00:00+00:00,41.40940694,-81.85469111,71.0,2.083,-0.667,0.70000005,0.49,4.0,16.575644,34.92,259.05582,CLE
2023-01-22 00:00:00+00:00,41.40940694,-81.85469111,73.0,1.0830001,-3.0170002,5.3,3.64,10.0,12.57426,25.56,126.4548,CLE
2023-01-23 00:00:00+00:00,41.40940694,-81.85469111,73.0,0.73300004,-0.817,3.1,2.1699998,16.0,21.67487,43.199997,318.45215,CLE
2023-01-24 00:00:00+00:00,41.40940694,-81.85469111,3.0,1.783,-4.317,0.0,0.0,0.0,23.277834,43.199997,240.67404,CLE
2023-01-25 00:00:00+00:00,41.40940694,-81.85469111,75.0,5.983,-5.017,9.500001,4.48,15.0,22.682856,42.48,138.16103,CLE
2023-01-26 00:00:00+00:00,41.40940694,-81.85469111,73.0,5.133,-0.36699998,5.2,3.2200003,24.0,25.199997,47.519997,267.46274,CLE
2023-01-27 00:00:00+00:00,41.40940694,-81.85469111,71.0,0.43300003,-5.967,0.8000001,0.56,8.0,27.0024,50.399998,218.79523,CLE
2023-01-28 00:00:00+00:00,41.40940694,-81.85469111,71.0,3.4329998,-1.767,0.5,0.14,4.0,34.763775,64.079994,231.61926,CLE
2023-01-29 00:00:00+00:00,41.40940694,-81.85469111,61.0,6.783,-1.367,5.8999996,0.0,9.0,26.009844,47.519997,215.67648,CLE
2023-01-30 00:00:00+00:00,41.40940694,-81.85469111,73.0,-0.167,-2.117,2.4,1.6800001,13.0,17.935081,35.28,1.3322059,CLE
2023-01-31 00:00:00+00:00,41.40940694,-81.85469111,71.0,-2.217,-9.766999,0.4,0.28,3.0,21.710716,42.48,320.16922,CLE
2023-02-01 00:00:00+00:00,41.40940694,-81.85469111,3.0,-3.0670002,-8.717,0.0,0.0,0.0,16.343367,32.760002,268.9704,CLE
2023-02-02 00:00:00+00:00,41.40940694,-81.85469111,3.0,3.9829998,-6.067,0.0,0.0,0.0,25.63847,51.12,224.11978,CLE
2023-02-03 00:00:00+00:00,41.40940694,-81.85469111,71.0,0.48300004,-10.217,1.0000001,0.7,8.0,32.83705,64.799995,315.57187,CLE
2023-02-04 00:00:00+00:00,41.40940694,-81.85469111,3.0,2.333,-10.516999,0.0,0.0,0.0,25.6233,52.199997,200.61887,CLE
2023-02-05 00:00:00+00:00,41.40940694,-81.85469111,3.0,8.533,1.0830001,0.0,0.0,0.0,28.58545,55.44,216.72594,CLE
2023-02-06 00:00:00+00:00,41.40940694,-81.85469111,71.0,6.783,-2.217,0.2,0.07,2.0,20.991426,38.16,328.6329,CLE
2023-02-07 00:00:00+00:00,41.40940694,-81.85469111,3.0,13.383,-3.5170002,0.0,0.0,0.0,31.435646,57.96,191.27686,CLE
2023-02-08 00:00:00+00:00,41.40940694,-81.85469111,3.0,6.533,-0.36699998,0.0,0.0,0.0,17.114204,43.92,278.55658,CLE
2023-02-09 00:00:00+00:00,41.40940694,-81.85469111,61.0,18.932999,1.5830001,15.000002,0.0,16.0,34.57687,71.28,180.78477,CLE
2023-02-10 00:00:00+00:00,41.40940694,-81.85469111,51.0,12.033,2.7329998,1.1000001,0.0,7.0,37.44346,70.56,254.94252,CLE
2023-02-11 00:00:00+00:00,41.40940694,-81.85469111,2.0,3.033,-3.417,0.0,0.0,0.0,22.26477,42.12,300.40332,CLE
2023-02-12 00:00:00+00:00,41.40940694,-81.85469111,3.0,6.983,-3.867,0.0,0.0,0.0,14.458382,25.199999,217.46501,CLE
2023-02-13 00:00:00+00:00,41.40940694,-81.85469111,3.0,10.483001,0.233,0.0,0.0,0.0,29.574827,59.76,242.99506,CLE
2023-02-14 00:00:00+00:00,41.40940694,-81.85469111,3.0,12.733001,-1.967,0.0,0.0,0.0,18.681883,43.199997,197.37181,CLE
2023-02-15 00:00:00+00:00,41.40940694,-81.85469111,51.0,17.883,9.483001,0.2,0.0,2.0,46.132004,90.36,201.86278,CLE
2023-02-16 00:00:00+00:00,41.40940694,-81.85469111,51.0,15.483001,1.633,0.5,0.0,2.0,23.906818,51.839996,352.89505,CLE
2023-02-17 00:00:00+00:00,41.40940694,-81.85469111,71.0,13.733001,-4.067,3.6999993,0.90999997,16.0,29.07989,63.0,300.41666,CLE
