date,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,ARPT_ID
2023-01-01 00:00:00+00:00,44.12458333,-123.2119722,51.0,7.976,2.726,0.1,0.0,1.0,8.373386,16.919998,352.25537,EUG
2023-01-02 00:00:00+00:00,44.12458333,-123.2119722,51.0,6.226,-1.574,0.4,0.0,1.0,14.255272,22.319998,60.76426,EUG
2023-01-03 00:00:00+00:00,44.12458333,-123.2119722,61.0,8.676,1.026,2.9,0.0,6.0,19.35314,34.56,156.76768,EUG
2023-01-04 00:00:00+00:00,44.12458333,-123.2119722,61.0,6.926,0.426,6.2000003,0.0,9.0,13.18308,23.759998,76.56342,EUG
2023-01-05 00:00:00+00:00,44.12458333,-123.2119722,53.0,14.826,5.326,1.2,0.0,5.0,26.121714,49.32,133.59305,EUG
2023-01-06 00:00:00+00:00,44.12458333,-123.2119722,73.0,11.676,4.076,4.5,0.28,6.0,17.771753,33.48,147.4108,EUG
2023-01-07 00:00:00+00:00,44.12458333,-123.2119722,61.0,13.126,6.076,9.599999,0.0,15.0,13.1041975,25.56,128.20125,EUG
2023-01-08 00:00:00+00:00,44.12458333,-123.2119722,61.0,11.126,6.876,9.6,0.0,11.0,25.241108,48.96,158.8873,EUG
2023-01-09 00:00:00+00:00,44.12458333,-123.2119722,61.0,11.476,1.626,5.6,0.0,10.0,23.023119,49.32,159.89075,EUG
2023-01-10 00:00:00+00:00,44.12458333,-123.2119722,51.0,10.876,-0.824,0.7,0.0,3.0,13.527572,27.359999,110.32325,EUG
2023-01-11 00:00:00+00:00,44.12458333,-123.2119722,63.0,9.076,5.526,16.5,0.0,12.0,17.313717,35.28,143.76355,EUG
2023-01-12 00:00:00+00:00,44.12458333,-123.2119722,55.0,12.976,7.526,8.2,0.0,14.0,19.8,45.0,125.59133,EUG
2023-01-13 00:00:00+00:00,44.12458333,-123.2119722,63.0,12.976,9.476,12.7,0.0,11.0,14.934577,34.56,139.09651,EUG
2023-01-14 00:00:00+00:00,44.12458333,-123.2119722,61.0,12.276,4.976,6.7,0.0,13.0,14.408997,25.919998,111.939926,EUG
2023-01-15 00:00:00+00:00,44.12458333,-123.2119722,63.0,11.776,5.526,23.9,0.0,21.0,29.16889,56.519997,180.92163,EUG
2023-01-16 00:00:00+00:00,44.12458333,-123.2119722,53.0,8.426,-0.27400002,1.2,0.0,4.0,14.578888,32.760002,163.60106,EUG
2023-01-17 00:00:00+00:00,44.12458333,-123.2119722,51.0,8.726,2.576,0.6,0.0,4.0,10.365251,20.16,185.08975,EUG
2023-01-18 00:00:00+00:00,44.12458333,-123.2119722,63.0,7.976,4.426,11.7,0.0,13.0,20.633371,36.719997,171.7625,EUG
2023-01-19 00:00:00+00:00,44.12458333,-123.2119722,75.0,7.226,1.776,9.700001,2.6599998,9.0,10.308831,24.84,167.8509,EUG
2023-01-20 00:00:00+00:00,44.12458333,-123.2119722,3.0,6.526,-1.624,0.0,0.0,0.0,10.948973,22.68,13.431052,EUG
2023-01-21 00:00:00+00:00,44.12458333,-123.2119722,73.0,5.726,-1.674,2.8999999,0.42000002,5.0,14.264361,23.4,142.61853,EUG
2023-01-22 00:00:00+00:00,44.12458333,-123.2119722,3.0,6.976,-1.474,0.0,0.0,0.0,9.693296,16.56,160.53125,EUG
2023-01-23 00:00:00+00:00,44.12458333,-123.2119722,3.0,8.026,-2.424,0.0,0.0,0.0,11.874544,24.48,43.932587,EUG
2023-01-24 00:00:00+00:00,44.12458333,-123.2119722,3.0,7.776,-3.024,0.0,0.0,0.0,11.966953,21.96,26.782827,EUG
2023-01-25 00:00:00+00:00,44.12458333,-123.2119722,3.0,7.626,-1.224,0.0,0.0,0.0,13.324863,25.919998,16.927631,EUG
2023-01-26 00:00:00+00:00,44.12458333,-123.2119722,3.0,6.676,-1.074,0.0,0.0,0.0,10.446206,25.56,40.255047,EUG
2023-01-27 00:00:00+00:00,44.12458333,-123.2119722,51.0,8.526,1.426,0.8,0.0,5.0,12.224107,23.759998,171.81082,EUG
2023-01-28 00:00:00+00:00,44.12458333,-123.2119722,53.0,8.726,4.326,2.5,0.0,10.0,8.435069,18.0,213.266,EUG
2023-01-29 00:00:00+00:00,44.12458333,-123.2119722,61.0,6.826,-3.074,4.7999997,0.0,7.0,22.319998,42.12,8.29979,EUG
2023-01-30 00:00:00+00:00,44.12458333,-123.2119722,3.0,3.276,-5.874,0.0,0.0,0.0,19.930477,40.32,3.6204011,EUG
2023-01-31 00:00:00+00:00,44.12458333,-123.2119722,3.0,5.876,-4.974,0.0,0.0,0.0,11.252519,24.84,43.47932,EUG
2023-02-01 00:00:00+00:00,44.12458333,-123.2119722,3.0,11.876,-3.324,0.0,0.0,0.0,8.209263,12.959999,114.63319,EUG
2023-02-02 00:00:00+00:00,44.12458333,-123.2119722,3.0,8.026,-4.624,0.0,0.0,0.0,12.287555,15.119999,61.13291,EUG
2023-02-03 00:00:00+00:00,44.12458333,-123.2119722,61.0,10.676,-2.624,3.1999996,0.0,6.0,21.749481,39.239998,178.79396,EUG
2023-02-04 00:00:00+00:00,44.12458333,-123.2119722,63.0,10.626,3.476,3.2,0.0,5.0,12.57426,28.44,140.81767,EUG
2023-02-05 00:00:00+00:00,44.12458333,-123.2119722,63.0,9.476,3.426,9.800002,0.0,14.0,24.703976,56.88,215.06123,EUG
2023-02-06 00:00:00+00:00,44.12458333,-123.2119722,53.0,8.826,1.9760001,1.5000001,0.0,4.0,10.948973,25.56,185.45251,EUG
2023-02-07 00:00:00+00:00,44.12458333,-123.2119722,55.0,9.176,2.126,3.9,0.0,7.0,18.1041,32.760002,165.49686,EUG
2023-02-08 00:00:00+00:00,44.12458333,-123.2119722,55.0,10.576,0.526,2.0,0.0,4.0,16.055355,29.88,175.8583,EUG
2023-02-09 00:00:00+00:00,44.12458333,-123.2119722,3.0,14.876,-0.774,0.0,0.0,0.0,8.557102,12.959999,72.47434,EUG
