date,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,ARPT_ID
2023-01-01 00:00:00+00:00,35.95236111,-112.14697222,73.0,4.213,1.313,5.7000003,1.4,11.0,31.810638,61.920002,189.41371,GCN
2023-01-02 00:00:00+00:00,35.95236111,-112.14697222,75.0,0.063,-3.487,10.5,7.28,19.0,23.686249,45.719997,223.96178,GCN
2023-01-03 00:00:00+00:00,35.95236111,-112.14697222,73.0,-0.737,-5.587,4.7999997,3.3600001,15.0,24.923338,49.32,235.79593,GCN
2023-01-04 00:00:00+00:00,35.95236111,-112.14697222,51.0,0.813,-3.537,0.1,0.0,1.0,19.161337,38.16,229.67355,GCN
2023-01-05 00:00:00+00:00,35.95236111,-112.14697222,3.0,4.463,-3.037,0.0,0.0,0.0,25.264202,49.32,166.48865,GCN
2023-01-06 00:00:00+00:00,35.95236111,-112.14697222,75.0,3.013,-2.587,14.2,9.8,10.0,25.744402,50.039997,221.18024,GCN
2023-01-07 00:00:00+00:00,35.95236111,-112.14697222,3.0,1.463,-7.187,0.0,0.0,0.0,16.263872,30.599998,85.71339,GCN
2023-01-08 00:00:00+00:00,35.95236111,-112.14697222,3.0,4.613,-4.137,0.0,0.0,0.0,10.966713,21.24,149.3228,GCN
2023-01-09 00:00:00+00:00,35.95236111,-112.14697222,3.0,5.013,-2.337,0.0,0.0,0.0,19.083395,37.8,192.38885,GCN
2023-01-10 00:00:00+00:00,35.95236111,-112.14697222,3.0,5.863,0.61300004,0.0,0.0,0.0,28.241077,56.88,199.26271,GCN
2023-01-11 00:00:00+00:00,35.95236111,-112.14697222,75.0,4.913,-7.737,6.2000003,4.2699995,3.0,33.34035,66.96,240.37541,GCN
2023-01-12 00:00:00+00:00,35.95236111,-112.14697222,3.0,2.063,-9.137,0.0,0.0,0.0,15.629972,30.960001,80.799675,GCN
2023-01-13 00:00:00+00:00,35.95236111,-112.14697222,3.0,4.713,-3.587,0.0,0.0,0.0,15.546833,29.519999,82.718834,GCN
2023-01-14 00:00:00+00:00,35.95236111,-112.14697222,3.0,5.913,-0.537,0.0,0.0,0.0,20.172853,41.039997,184.78337,GCN
2023-01-15 00:00:00+00:00,35.95236111,-112.14697222,75.0,3.113,-1.237,19.800005,13.789998,24.0,31.76375,60.839996,219.07898,GCN
2023-01-16 00:00:00+00:00,35.95236111,-112.14697222,75.0,0.61300004,-1.787,16.8,11.760001,19.0,27.009598,52.56,210.01166,GCN
2023-01-17 00:00:00+00:00,35.95236111,-112.14697222,75.0,0.463,-3.587,8.2,5.8099995,16.0,30.96837,60.120003,215.05652,GCN
