date,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,ARPT_ID
2023-01-01 00:00:00+00:00,15.12024861,145.7299864,53.0,28.0965,25.3465,1.3000001,0.0,7.0,38.344646,59.039997,59.062847,GSN
2023-01-02 00:00:00+00:00,15.12024861,145.7299864,51.0,27.8465,25.4465,0.5,0.0,4.0,41.542187,65.88,66.21401,GSN
2023-01-03 00:00:00+00:00,15.12024861,145.7299864,53.0,28.7465,24.1465,3.3,0.0,17.0,30.430117,47.519997,65.49877,GSN
2023-01-04 00:00:00+00:00,15.12024861,145.7299864,51.0,28.1465,25.0465,2.1,0.0,14.0,35.870163,56.16,58.97023,GSN
2023-01-05 00:00:00+00:00,15.12024861,145.7299864,51.0,27.3465,24.9465,2.8999999,0.0,17.0,32.59939,56.16,57.091805,GSN
2023-01-06 00:00:00+00:00,15.12024861,145.7299864,51.0,27.9465,25.8965,0.3,0.0,3.0,30.282827,49.68,64.68595,GSN
2023-01-07 00:00:00+00:00,15.12024861,145.7299864,51.0,28.0465,25.3465,2.0000002,0.0,10.0,31.65135,48.96,61.793476,GSN
2023-01-08 00:00:00+00:00,15.12024861,145.7299864,63.0,27.6965,24.3965,17.2,0.0,24.0,37.226505,60.120003,56.04188,GSN
2023-01-09 00:00:00+00:00,15.12024861,145.7299864,63.0,27.7465,24.0465,7.4,0.0,16.0,37.87535,59.76,54.64773,GSN
2023-01-10 00:00:00+00:00,15.12024861,145.7299864,55.0,27.6965,24.8465,7.7999997,0.0,21.0,24.36325,42.12,63.062195,GSN
2023-01-11 00:00:00+00:00,15.12024861,145.7299864,63.0,26.4465,25.0965,11.200003,0.0,23.0,39.162308,60.839996,49.66839,GSN
2023-01-12 00:00:00+00:00,15.12024861,145.7299864,63.0,26.5965,23.9465,23.800003,0.0,24.0,45.572357,72.0,50.52417,GSN
2023-01-13 00:00:00+00:00,15.12024861,145.7299864,61.0,26.0465,25.1965,4.8,0.0,16.0,47.954376,73.079994,63.652077,GSN
2023-01-14 00:00:00+00:00,15.12024861,145.7299864,63.0,27.1965,24.2965,13.600001,0.0,20.0,43.565945,67.67999,91.53101,GSN
2023-01-15 00:00:00+00:00,15.12024861,145.7299864,61.0,26.1965,24.3465,11.100001,0.0,20.0,34.94968,56.88,113.477745,GSN
2023-01-16 00:00:00+00:00,15.12024861,145.7299864,51.0,27.5965,25.3465,0.9000001,0.0,8.0,33.651817,54.36,105.37788,GSN
2023-01-17 00:00:00+00:00,15.12024861,145.7299864,3.0,28.5965,25.6465,0.0,0.0,0.0,24.693481,44.639996,82.4238,GSN
2023-01-18 00:00:00+00:00,15.12024861,145.7299864,51.0,28.3965,24.5465,1.8000003,0.0,10.0,25.872456,40.68,72.153366,GSN
2023-01-19 00:00:00+00:00,15.12024861,145.7299864,51.0,27.9465,25.5465,1.0,0.0,5.0,29.301876,45.719997,71.258575,GSN
2023-01-20 00:00:00+00:00,15.12024861,145.7299864,51.0,28.6465,25.9465,0.4,0.0,4.0,33.818928,52.92,72.186035,GSN
