date,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,ARPT_ID
2023-01-01 00:00:00+00:00,41.78597222,-87.75241666,71.0,8.639,-1.161,3.8,0.28,3.0,14.512064,27.72,207.1623,MDW
2023-01-02 00:00:00+00:00,41.78597222,-87.75241666,3.0,5.739,-1.2609999,0.0,0.0,0.0,14.77755,26.28,28.423767,MDW
2023-01-03 00:00:00+00:00,41.78597222,-87.75241666,63.0,12.389,2.389,13.2,0.0,16.0,15.856354,28.08,49.21426,MDW
2023-01-04 00:00:00+00:00,41.78597222,-87.75241666,53.0,10.539,-1.0109999,1.3,0.0,2.0,18.837322,33.12,226.66324,MDW
2023-01-05 00:00:00+00:00,41.78597222,-87.75241666,71.0,0.93899995,-0.41099998,1.2000002,0.84,10.0,18.214718,32.760002,232.25311,MDW
2023-01-06 00:00:00+00:00,41.78597222,-87.75241666,71.0,1.089,-2.5609999,0.2,0.21000001,2.0,15.745627,28.08,254.01614,MDW
2023-01-07 00:00:00+00:00,41.78597222,-87.75241666,3.0,1.089,-4.561,0.0,0.0,0.0,13.551501,27.0,2.9107854,MDW
2023-01-08 00:00:00+00:00,41.78597222,-87.75241666,3.0,1.639,-3.3109999,0.0,0.0,0.0,11.570515,21.24,314.0907,MDW
2023-01-09 00:00:00+00:00,41.78597222,-87.75241666,3.0,5.939,-5.111,0.0,0.0,0.0,16.80857,32.039997,230.52402,MDW
2023-01-10 00:00:00+00:00,41.78597222,-87.75241666,51.0,8.039,0.789,0.4,0.0,1.0,16.808569,28.44,195.94543,MDW
2023-01-11 00:00:00+00:00,41.78597222,-87.75241666,3.0,11.238999,0.089,0.0,0.0,0.0,14.658676,29.16,176.81435,MDW
2023-01-12 00:00:00+00:00,41.78597222,-87.75241666,51.0,8.238999,2.1890001,0.1,0.0,1.0,31.012281,55.8,357.64514,MDW
2023-01-13 00:00:00+00:00,41.78597222,-87.75241666,71.0,2.4390001,-0.961,0.4,0.14,3.0,24.967499,47.88,346.12244,MDW
2023-01-14 00:00:00+00:00,41.78597222,-87.75241666,3.0,0.389,-6.561,0.0,0.0,0.0,15.745627,27.359999,292.9458,MDW
2023-01-15 00:00:00+00:00,41.78597222,-87.75241666,3.0,5.939,-4.211,0.0,0.0,0.0,22.45315,41.399998,171.52219,MDW
2023-01-16 00:00:00+00:00,41.78597222,-87.75241666,55.0,8.139,2.4390001,4.7999997,0.0,9.0,24.858253,45.719997,168.09096,MDW
2023-01-17 00:00:00+00:00,41.78597222,-87.75241666,51.0,9.289,3.9390001,0.2,0.0,2.0,30.811037,55.079998,240.91026,MDW
2023-01-18 00:00:00+00:00,41.78597222,-87.75241666,3.0,4.289,-0.51100004,0.0,0.0,0.0,19.829433,37.44,288.05344,MDW
2023-01-19 00:00:00+00:00,41.78597222,-87.75241666,71.0,5.189,2.039,13.3,0.28,17.0,30.96837,54.0,117.362,MDW
2023-01-20 00:00:00+00:00,41.78597222,-87.75241666,71.0,2.4390001,-0.81100005,1.3000001,0.21000001,7.0,23.42491,41.399998,279.0936,MDW
2023-01-21 00:00:00+00:00,41.78597222,-87.75241666,3.0,2.489,-2.661,0.0,0.0,0.0,14.003028,29.16,240.1146,MDW
2023-01-22 00:00:00+00:00,41.78597222,-87.75241666,73.0,1.389,-2.111,2.2,1.6100001,15.0,12.43434,22.68,116.1468,MDW
2023-01-23 00:00:00+00:00,41.78597222,-87.75241666,71.0,-0.41099998,-5.861,0.2,0.14,2.0,24.967499,45.719997,274.90112,MDW
2023-01-24 00:00:00+00:00,41.78597222,-87.75241666,3.0,1.9890001,-4.211,0.0,0.0,0.0,23.966375,40.32,242.71162,MDW
2023-01-25 00:00:00+00:00,41.78597222,-87.75241666,73.0,1.289,-1.911,8.400001,5.74,17.0,16.394829,28.8,47.88572,MDW
2023-01-26 00:00:00+00:00,41.78597222,-87.75241666,73.0,0.33900002,-3.461,1.7000002,1.1900002,13.0,21.068459,39.6,270.1948,MDW
2023-01-27 00:00:00+00:00,41.78597222,-87.75241666,71.0,3.1890001,-11.711,0.6,0.42000002,4.0,29.882166,52.199997,217.4427,MDW
2023-01-28 00:00:00+00:00,41.78597222,-87.75241666,73.0,0.789,-9.411,1.6000001,1.1200001,8.0,31.845247,55.44,279.7276,MDW
2023-01-29 00:00:00+00:00,41.78597222,-87.75241666,73.0,-0.861,-5.211,1.7,1.1900002,7.0,21.566975,37.8,10.660946,MDW
2023-01-30 00:00:00+00:00,41.78597222,-87.75241666,71.0,-4.511,-12.611,1.3000001,0.90999997,9.0,15.379206,27.359999,323.9462,MDW
2023-01-31 00:00:00+00:00,41.78597222,-87.75241666,3.0,-10.161,-20.961,0.0,0.0,0.0,13.084402,25.199999,285.66476,MDW
2023-02-01 00:00:00+00:00,41.78597222,-87.75241666,0.0,-2.5609999,-17.061,0.0,0.0,0.0,18.328207,34.56,231.8889,MDW
2023-02-02 00:00:00+00:00,41.78597222,-87.75241666,3.0,0.089,-6.861,0.0,0.0,0.0,21.94524,39.6,241.54266,MDW
2023-02-03 00:00:00+00:00,41.78597222,-87.75241666,1.0,-4.611,-17.761,0.0,0.0,0.0,23.47741,40.32,320.52014,MDW
2023-02-04 00:00:00+00:00,41.78597222,-87.75241666,3.0,6.339,-11.561001,0.0,0.0,0.0,26.959166,48.6,196.64844,MDW
2023-02-05 00:00:00+00:00,41.78597222,-87.75241666,71.0,6.089,0.639,0.1,0.07,1.0,28.165257,47.519997,232.85643,MDW
2023-02-06 00:00:00+00:00,41.78597222,-87.75241666,3.0,6.489,-6.211,0.0,0.0,0.0,19.770523,37.079998,144.77312,MDW
2023-02-07 00:00:00+00:00,41.78597222,-87.75241666,3.0,10.289,2.839,0.0,0.0,0.0,35.06999,60.120003,222.30739,MDW
2023-02-08 00:00:00+00:00,41.78597222,-87.75241666,3.0,6.789,-4.261,0.0,0.0,0.0,13.237039,21.96,233.99611,MDW
2023-02-09 00:00:00+00:00,41.78597222,-87.75241666,65.0,8.589,0.889,22.100002,0.0,15.0,25.872456,45.36,83.3038,MDW
2023-02-10 00:00:00+00:00,41.78597222,-87.75241666,71.0,3.4390001,0.039,0.70000005,0.07,5.0,25.478743,43.92,290.79834,MDW
2023-02-11 00:00:00+00:00,41.78597222,-87.75241666,0.0,7.239,-5.861,0.0,0.0,0.0,18.668005,35.64,240.2971,MDW
2023-02-12 00:00:00+00:00,41.78597222,-87.75241666,0.0,10.389,-2.461,0.0,0.0,0.0,16.800856,32.760002,227.96826,MDW
2023-02-13 00:00:00+00:00,41.78597222,-87.75241666,3.0,10.238999,0.93899995,0.0,0.0,0.0,19.228851,36.0,257.43887,MDW
2023-02-14 00:00:00+00:00,41.78597222,-87.75241666,51.0,12.488999,0.589,0.6,0.0,3.0,29.374763,52.92,177.47658,MDW
2023-02-15 00:00:00+00:00,41.78597222,-87.75241666,61.0,10.988999,5.989,5.3999996,0.0,9.0,41.23532,73.799995,221.29617,MDW
2023-02-16 00:00:00+00:00,41.78597222,-87.75241666,75.0,2.339,-0.611,8.4,4.3399997,10.0,31.731092,56.519997,27.862791,MDW
2023-02-17 00:00:00+00:00,41.78597222,-87.75241666,75.0,-0.56100005,-8.461,2.8999999,2.03,6.0,28.533264,54.0,327.9774,MDW
