date,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,ARPT_ID
2023-01-01 00:00:00+00:00,42.93280555,-71.43575,53.0,10.504,5.4040003,4.4999995,0.0,9.0,21.9718,48.96,274.32034,MHT
2023-01-02 00:00:00+00:00,42.93280555,-71.43575,3.0,8.204,-0.896,0.0,0.0,0.0,16.171976,37.079998,280.7404,MHT
2023-01-03 00:00:00+00:00,42.93280555,-71.43575,61.0,3.904,-2.296,7.2999997,0.0,9.0,9.3876505,18.72,336.86853,MHT
2023-01-04 00:00:00+00:00,42.93280555,-71.43575,63.0,6.454,0.554,7.6000004,0.0,9.0,8.373386,16.919998,354.17825,MHT
2023-01-05 00:00:00+00:00,42.93280555,-71.43575,55.0,4.604,1.304,6.3999996,0.0,13.0,15.696165,32.760002,44.568367,MHT
2023-01-06 00:00:00+00:00,42.93280555,-71.43575,75.0,1.6539999,-0.146,9.5,6.6499996,11.0,9.085988,19.8,13.220259,MHT
2023-01-07 00:00:00+00:00,42.93280555,-71.43575,73.0,6.054,-2.896,0.70000005,0.42,2.0,14.57889,33.48,302.06854,MHT
2023-01-08 00:00:00+00:00,42.93280555,-71.43575,1.0,2.604,-6.796,0.0,0.0,0.0,14.693999,29.519999,313.74557,MHT
2023-01-09 00:00:00+00:00,42.93280555,-71.43575,3.0,4.854,-4.746,0.0,0.0,0.0,11.304229,24.84,229.98152,MHT
2023-01-10 00:00:00+00:00,42.93280555,-71.43575,71.0,1.954,-3.6959999,0.2,0.14,2.0,14.799459,34.92,293.01874,MHT
2023-01-11 00:00:00+00:00,42.93280555,-71.43575,3.0,0.404,-7.496,0.0,0.0,0.0,11.542478,21.96,20.293192,MHT
2023-01-12 00:00:00+00:00,42.93280555,-71.43575,73.0,1.804,-3.1959999,2.3,0.84,8.0,11.720751,26.64,104.516754,MHT
2023-01-13 00:00:00+00:00,42.93280555,-71.43575,63.0,10.804,1.004,20.700003,0.0,17.0,18.228943,39.96,180.87129,MHT
2023-01-14 00:00:00+00:00,42.93280555,-71.43575,71.0,4.754,-1.546,0.6,0.28,4.0,17.782686,39.96,332.22437,MHT
2023-01-15 00:00:00+00:00,42.93280555,-71.43575,71.0,3.204,-2.6959999,0.2,0.14,2.0,24.57511,52.92,357.05658,MHT
2023-01-16 00:00:00+00:00,42.93280555,-71.43575,73.0,0.90400004,-1.496,5.9,4.13,18.0,21.2522,45.0,347.23645,MHT
2023-01-17 00:00:00+00:00,42.93280555,-71.43575,51.0,9.054,-2.4959998,0.1,0.0,1.0,19.09358,40.68,312.25308,MHT
2023-01-18 00:00:00+00:00,42.93280555,-71.43575,51.0,9.104,-0.84599996,0.3,0.0,2.0,23.532547,51.839996,279.658,MHT
2023-01-19 00:00:00+00:00,42.93280555,-71.43575,73.0,4.854,-0.696,0.9,0.35000002,3.0,17.309975,36.36,309.26773,MHT
2023-01-20 00:00:00+00:00,42.93280555,-71.43575,75.0,0.90400004,-0.74600005,22.4,15.189999,23.0,17.208603,37.44,36.142166,MHT
2023-01-21 00:00:00+00:00,42.93280555,-71.43575,73.0,0.704,-6.296,1.0,0.7,4.0,13.18308,32.399998,345.99765,MHT
2023-01-22 00:00:00+00:00,42.93280555,-71.43575,3.0,3.0540001,-13.696,0.0,0.0,0.0,16.279802,37.079998,241.96623,MHT
2023-01-23 00:00:00+00:00,42.93280555,-71.43575,75.0,0.954,-0.99600005,32.399998,14.419999,23.0,18.455048,44.28,356.72513,MHT
2023-01-24 00:00:00+00:00,42.93280555,-71.43575,73.0,3.7540002,-5.396,0.6,0.42000002,2.0,23.863409,55.44,287.57602,MHT
2023-01-25 00:00:00+00:00,42.93280555,-71.43575,73.0,0.75399995,-8.946,1.1000001,0.77,6.0,12.413476,24.84,291.48557,MHT
2023-01-26 00:00:00+00:00,42.93280555,-71.43575,73.0,7.1540003,-0.396,29.3,2.31,13.0,23.795427,53.639996,234.88524,MHT
2023-01-27 00:00:00+00:00,42.93280555,-71.43575,3.0,2.854,-8.196,0.0,0.0,0.0,18.1041,36.719997,258.62424,MHT
2023-01-28 00:00:00+00:00,42.93280555,-71.43575,3.0,7.004,-10.046,0.0,0.0,0.0,19.562946,46.44,207.26015,MHT
2023-01-29 00:00:00+00:00,42.93280555,-71.43575,3.0,9.454,-9.246,0.0,0.0,0.0,18.03237,36.0,225.27542,MHT
2023-01-30 00:00:00+00:00,42.93280555,-71.43575,3.0,6.1540003,0.0040000007,0.0,0.0,0.0,13.584932,36.0,259.25623,MHT
2023-01-31 00:00:00+00:00,42.93280555,-71.43575,73.0,1.954,-7.946,4.1,2.38,12.0,18.514643,43.56,327.6119,MHT
2023-02-01 00:00:00+00:00,42.93280555,-71.43575,3.0,-2.596,-15.246,0.0,0.0,0.0,10.365251,26.28,338.29004,MHT
2023-02-02 00:00:00+00:00,42.93280555,-71.43575,3.0,1.6539999,-11.946,0.0,0.0,0.0,14.84318,36.719997,239.40007,MHT
2023-02-03 00:00:00+00:00,42.93280555,-71.43575,71.0,-1.046,-19.946,0.1,0.07,1.0,28.146843,62.639996,282.60925,MHT
2023-02-04 00:00:00+00:00,42.93280555,-71.43575,2.0,-12.646,-26.696,0.0,0.0,0.0,22.322903,48.96,298.60608,MHT
2023-02-05 00:00:00+00:00,42.93280555,-71.43575,3.0,8.054,-15.196,0.0,0.0,0.0,16.489416,38.88,208.12686,MHT
2023-02-06 00:00:00+00:00,42.93280555,-71.43575,3.0,8.304,-3.4959998,0.0,0.0,0.0,20.265795,46.44,307.32706,MHT
2023-02-07 00:00:00+00:00,42.93280555,-71.43575,3.0,1.204,-8.946,0.0,0.0,0.0,16.394829,34.2,11.971263,MHT
2023-02-08 00:00:00+00:00,42.93280555,-71.43575,73.0,7.4040003,-2.796,1.1,0.63,3.0,19.201874,43.92,254.99036,MHT
2023-02-09 00:00:00+00:00,42.93280555,-71.43575,53.0,6.4040003,-3.1959999,1.8000001,0.0,5.0,12.979984,23.4,230.91809,MHT
2023-02-10 00:00:00+00:00,42.93280555,-71.43575,53.0,11.504,1.054,0.8,0.0,3.0,27.059933,69.12,254.58716,MHT
2023-02-11 00:00:00+00:00,42.93280555,-71.43575,3.0,4.804,-0.896,0.0,0.0,0.0,20.696087,47.16,292.17566,MHT
2023-02-12 00:00:00+00:00,42.93280555,-71.43575,3.0,8.854,-2.646,0.0,0.0,0.0,12.287555,23.4,240.04144,MHT
2023-02-13 00:00:00+00:00,42.93280555,-71.43575,3.0,6.704,-1.5960001,0.0,0.0,0.0,16.595179,37.44,35.386284,MHT
2023-02-14 00:00:00+00:00,42.93280555,-71.43575,71.0,8.204,-0.896,0.1,0.07,1.0,24.567198,54.36,307.10107,MHT
2023-02-15 00:00:00+00:00,42.93280555,-71.43575,51.0,13.104,-2.896,0.1,0.0,1.0,22.505037,49.32,178.17715,MHT
2023-02-16 00:00:00+00:00,42.93280555,-71.43575,3.0,13.504,7.554,0.0,0.0,0.0,20.188908,41.760002,253.00151,MHT
2023-02-17 00:00:00+00:00,42.93280555,-71.43575,71.0,14.204,-1.246,4.7,0.07,9.0,24.387178,54.36,316.77606,MHT
2023-02-18 00:00:00+00:00,42.93280555,-71.43575,71.0,4.1540003,-7.546,0.4,0.28,3.0,26.072052,58.679996,307.54053,MHT
2023-02-19 00:00:00+00:00,42.93280555,-71.43575,3.0,7.254,-2.546,0.0,0.0,0.0,17.294992,35.64,204.03688,MHT
2023-02-20 00:00:00+00:00,42.93280555,-71.43575,3.0,12.904,3.154,0.0,0.0,0.0,20.172853,45.0,224.04323,MHT
2023-02-21 00:00:00+00:00,42.93280555,-71.43575,73.0,5.554,-0.696,2.3999996,1.5400001,8.0,13.397612,32.399998,36.948254,MHT
2023-02-22 00:00:00+00:00,42.93280555,-71.43575,51.0,6.304,-2.2459998,0.6,0.0,3.0,13.217443,30.960001,270.493,MHT
2023-02-23 00:00:00+00:00,42.93280555,-71.43575,75.0,1.704,-6.546,14.199999,9.5199995,16.0,16.575644,35.64,38.353577,MHT
2023-02-24 00:00:00+00:00,42.93280555,-71.43575,71.0,0.804,-8.646,4.7999997,0.49,7.0,24.863466,55.079998,321.22577,MHT
2023-02-25 00:00:00+00:00,42.93280555,-71.43575,73.0,-6.796,-16.896,1.3000001,0.9100001,7.0,11.440979,29.519999,319.7536,MHT
2023-02-26 00:00:00+00:00,42.93280555,-71.43575,73.0,-1.9959999,-17.046,1.5000001,1.1200001,7.0,6.5693827,15.119999,86.10842,MHT
2023-02-27 00:00:00+00:00,42.93280555,-71.43575,3.0,0.404,-12.346,0.0,0.0,0.0,14.48972,29.519999,346.893,MHT
2023-02-28 00:00:00+00:00,42.93280555,-71.43575,73.0,1.254,-4.8459997,9.1,6.16,20.0,18.455048,39.6,93.35634,MHT
2023-03-01 00:00:00+00:00,42.93280555,-71.43575,73.0,5.4040003,-6.046,0.90000004,0.48999998,4.0,11.808878,24.119999,289.5664,MHT
2023-03-02 00:00:00+00:00,42.93280555,-71.43575,63.0,5.104,-0.346,7.2999997,0.0,6.0,19.652176,31.68,91.98474,MHT
2023-03-03 00:00:00+00:00,42.93280555,-71.43575,3.0,6.254,-3.896,0.0,0.0,0.0,22.961115,48.96,317.04968,MHT
2023-03-04 00:00:00+00:00,42.93280555,-71.43575,75.0,1.6539999,-0.346,25.800005,17.849997,21.0,21.707731,54.0,72.02295,MHT
2023-03-05 00:00:00+00:00,42.93280555,-71.43575,71.0,5.304,-7.046,0.4,0.21000001,4.0,18.947083,43.92,308.75613,MHT
2023-03-06 00:00:00+00:00,42.93280555,-71.43575,3.0,5.254,0.254,0.0,0.0,0.0,27.362368,61.920002,302.16196,MHT
2023-03-07 00:00:00+00:00,42.93280555,-71.43575,71.0,2.404,-4.646,0.2,0.14,2.0,20.883102,48.6,318.9977,MHT
2023-03-08 00:00:00+00:00,42.93280555,-71.43575,71.0,4.354,-5.496,0.1,0.07,1.0,22.565422,47.519997,327.4197,MHT
2023-03-09 00:00:00+00:00,42.93280555,-71.43575,3.0,6.204,-2.596,0.0,0.0,0.0,18.359999,38.519997,329.12427,MHT
2023-03-10 00:00:00+00:00,42.93280555,-71.43575,3.0,7.1540003,-5.5959997,0.0,0.0,0.0,13.627795,27.359999,330.3763,MHT
2023-03-11 00:00:00+00:00,42.93280555,-71.43575,71.0,3.954,-0.546,0.4,0.28,4.0,15.580141,38.519997,46.034878,MHT
2023-03-12 00:00:00+00:00,42.93280555,-71.43575,3.0,5.804,-5.296,0.0,0.0,0.0,11.901798,28.08,17.406359,MHT
2023-03-13 00:00:00+00:00,42.93280555,-71.43575,53.0,5.304,-2.146,1.1,0.0,6.0,15.141414,33.839996,108.90089,MHT
2023-03-14 00:00:00+00:00,42.93280555,-71.43575,75.0,1.9039999,1.1539999,71.200005,42.559998,24.0,26.596178,62.639996,44.042976,MHT
2023-03-15 00:00:00+00:00,42.93280555,-71.43575,73.0,4.204,0.604,3.3999996,2.3799996,9.0,32.19938,77.4,332.10626,MHT
2023-03-16 00:00:00+00:00,42.93280555,-71.43575,3.0,8.354,-2.1959999,0.0,0.0,0.0,20.523157,42.48,306.45334,MHT
2023-03-17 00:00:00+00:00,42.93280555,-71.43575,3.0,6.504,-3.846,0.0,0.0,0.0,9.659814,24.48,33.82617,MHT
2023-03-18 00:00:00+00:00,42.93280555,-71.43575,3.0,7.304,-0.59599996,0.0,0.0,0.0,14.658676,31.68,300.96365,MHT
2023-03-19 00:00:00+00:00,42.93280555,-71.43575,3.0,0.854,-7.246,0.0,0.0,0.0,27.834309,64.439995,269.0809,MHT
2023-03-20 00:00:00+00:00,42.93280555,-71.43575,1.0,7.6540003,-6.8459997,0.0,0.0,0.0,18.11841,41.039997,242.72531,MHT
2023-03-21 00:00:00+00:00,42.93280555,-71.43575,3.0,12.454,-3.4459999,0.0,0.0,0.0,20.633371,47.519997,260.8913,MHT
2023-03-22 00:00:00+00:00,42.93280555,-71.43575,3.0,11.854,-1.546,0.0,0.0,0.0,13.0447235,31.319998,67.38009,MHT
2023-03-23 00:00:00+00:00,42.93280555,-71.43575,53.0,15.554,2.5040002,0.8,0.0,2.0,18.335276,41.399998,175.77045,MHT
2023-03-24 00:00:00+00:00,42.93280555,-71.43575,51.0,9.954,2.5540001,0.4,0.0,2.0,18.11841,40.32,305.22086,MHT
2023-03-25 00:00:00+00:00,42.93280555,-71.43575,73.0,4.354,-2.646,1.6000001,0.28,6.0,18.86139,42.12,71.56498,MHT
2023-03-26 00:00:00+00:00,42.93280555,-71.43575,73.0,11.304,1.1539999,1.8000001,0.35000002,4.0,28.100763,63.0,276.90146,MHT
2023-03-27 00:00:00+00:00,42.93280555,-71.43575,51.0,13.904,-1.046,0.4,0.0,2.0,11.269782,28.08,290.86136,MHT
2023-03-28 00:00:00+00:00,42.93280555,-71.43575,53.0,9.204,1.504,3.9999998,0.0,13.0,15.072783,37.079998,344.93594,MHT
2023-03-29 00:00:00+00:00,42.93280555,-71.43575,3.0,11.454,-2.9459999,0.0,0.0,0.0,12.496719,23.4,309.66434,MHT
2023-03-30 00:00:00+00:00,42.93280555,-71.43575,3.0,4.754,-3.2459998,0.0,0.0,0.0,23.510508,52.92,284.4703,MHT
2023-03-31 00:00:00+00:00,42.93280555,-71.43575,53.0,11.104,-4.046,1.3,0.0,3.0,14.044615,34.2,224.2679,MHT
2023-04-01 00:00:00+00:00,42.93280555,-71.43575,75.0,18.554,1.104,13.3,2.73,14.0,15.876775,45.36,148.99481,MHT
2023-04-02 00:00:00+00:00,42.93280555,-71.43575,63.0,11.404,2.004,4.7000003,0.0,2.0,25.35637,60.120003,312.52304,MHT
2023-04-03 00:00:00+00:00,42.93280555,-71.43575,3.0,11.654,-4.146,0.0,0.0,0.0,23.006226,52.92,208.27298,MHT
2023-04-04 00:00:00+00:00,42.93280555,-71.43575,51.0,14.254,5.304,0.8000001,0.0,6.0,17.902534,39.96,241.69939,MHT
2023-04-05 00:00:00+00:00,42.93280555,-71.43575,3.0,7.554,3.704,0.0,0.0,0.0,17.283749,41.039997,76.27476,MHT
2023-04-06 00:00:00+00:00,42.93280555,-71.43575,53.0,20.504,1.9039999,1.8,0.0,8.0,11.304229,23.039999,110.30458,MHT
2023-04-07 00:00:00+00:00,42.93280555,-71.43575,53.0,13.404,4.204,0.6,0.0,2.0,25.071096,57.239998,287.89468,MHT
2023-04-08 00:00:00+00:00,42.93280555,-71.43575,3.0,8.704,-2.396,0.0,0.0,0.0,15.876775,38.16,316.30313,MHT
2023-04-09 00:00:00+00:00,42.93280555,-71.43575,2.0,11.604,-2.7459998,0.0,0.0,0.0,9.220499,23.039999,332.0854,MHT
2023-04-10 00:00:00+00:00,42.93280555,-71.43575,1.0,16.954,-0.946,0.0,0.0,0.0,8.707237,20.16,269.99997,MHT
2023-04-11 00:00:00+00:00,42.93280555,-71.43575,3.0,20.554,4.804,0.0,0.0,0.0,21.38897,48.239998,258.56152,MHT
2023-04-12 00:00:00+00:00,42.93280555,-71.43575,3.0,18.754,11.854,0.0,0.0,0.0,21.67487,50.76,291.5924,MHT
2023-04-13 00:00:00+00:00,42.93280555,-71.43575,2.0,29.004,7.954,0.0,0.0,0.0,11.570515,30.239998,249.41199,MHT
2023-04-14 00:00:00+00:00,42.93280555,-71.43575,3.0,31.154,15.254,0.0,0.0,0.0,17.935081,47.519997,294.4287,MHT
2023-04-15 00:00:00+00:00,42.93280555,-71.43575,3.0,22.304,7.554,0.0,0.0,0.0,12.496719,31.68,70.78284,MHT
2023-04-16 00:00:00+00:00,42.93280555,-71.43575,51.0,18.254,10.554,0.4,0.0,4.0,10.296251,24.119999,85.676186,MHT
2023-04-17 00:00:00+00:00,42.93280555,-71.43575,53.0,12.954,8.654,2.6000001,0.0,13.0,14.417988,39.239998,90.479065,MHT
2023-04-18 00:00:00+00:00,42.93280555,-71.43575,51.0,12.404,5.454,0.5,0.0,2.0,23.18579,53.639996,250.78403,MHT
2023-04-19 00:00:00+00:00,42.93280555,-71.43575,3.0,10.604,3.0540001,0.0,0.0,0.0,20.176065,46.8,277.62982,MHT
2023-04-20 00:00:00+00:00,42.93280555,-71.43575,3.0,15.454,1.254,0.0,0.0,0.0,14.05845,33.839996,294.06268,MHT
2023-04-21 00:00:00+00:00,42.93280555,-71.43575,3.0,15.704,2.704,0.0,0.0,0.0,14.707222,36.36,84.19129,MHT
2023-04-22 00:00:00+00:00,42.93280555,-71.43575,3.0,12.454,3.654,0.0,0.0,0.0,16.595179,39.6,95.69542,MHT
2023-04-23 00:00:00+00:00,42.93280555,-71.43575,63.0,7.504,6.4040003,31.300001,0.0,19.0,17.227419,42.839996,83.72216,MHT
2023-04-24 00:00:00+00:00,42.93280555,-71.43575,61.0,13.704,5.804,3.799999,0.0,13.0,14.84318,32.760002,319.66064,MHT
2023-04-25 00:00:00+00:00,42.93280555,-71.43575,55.0,13.954,3.404,2.4,0.0,6.0,12.387348,29.519999,348.98035,MHT
2023-04-26 00:00:00+00:00,42.93280555,-71.43575,51.0,12.854,5.6540003,1.6000001,0.0,12.0,10.805998,29.519999,92.895706,MHT
2023-04-27 00:00:00+00:00,42.93280555,-71.43575,53.0,14.454,4.454,1.0000001,0.0,6.0,9.885262,21.96,189.75789,MHT
2023-04-28 00:00:00+00:00,42.93280555,-71.43575,3.0,17.504,2.354,0.0,0.0,0.0,14.480773,33.48,118.416046,MHT
2023-04-29 00:00:00+00:00,42.93280555,-71.43575,55.0,11.854,5.254,1.3000001,0.0,4.0,16.23596,35.64,95.3498,MHT
2023-04-30 00:00:00+00:00,42.93280555,-71.43575,63.0,9.704,6.6540003,15.799999,0.0,23.0,24.023088,53.28,70.03375,MHT
2023-05-01 00:00:00+00:00,42.93280555,-71.43575,63.0,16.454,8.054,21.4,0.0,13.0,25.516865,61.199997,160.83731,MHT
