date,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,ARPT_ID
2023-01-01 00:00:00+00:00,42.94693194,-87.89706444,71.0,7.6675,-0.98249996,4.0,0.07,7.0,17.654686,27.72,203.87381,MKE
2023-01-02 00:00:00+00:00,42.94693194,-87.89706444,3.0,2.8174999,-0.2325,0.0,0.0,0.0,15.175612,23.4,333.50644,MKE
2023-01-03 00:00:00+00:00,42.94693194,-87.89706444,61.0,3.8675,0.6675,9.900001,0.0,14.0,24.651457,39.239998,41.81058,MKE
2023-01-04 00:00:00+00:00,42.94693194,-87.89706444,51.0,3.4675,0.2175,0.2,0.0,2.0,16.563911,25.919998,250.99525,MKE
2023-01-05 00:00:00+00:00,42.94693194,-87.89706444,73.0,1.2674999,-0.73249996,1.4000001,0.9100001,8.0,14.76439,24.119999,231.31676,MKE
2023-01-06 00:00:00+00:00,42.94693194,-87.89706444,71.0,0.51750004,-1.7325001,0.1,0.07,1.0,15.683776,28.44,280.77417,MKE
2023-01-07 00:00:00+00:00,42.94693194,-87.89706444,3.0,-1.1825,-5.6324997,0.0,0.0,0.0,11.874544,23.4,334.7935,MKE
2023-01-08 00:00:00+00:00,42.94693194,-87.89706444,3.0,0.61749995,-3.1825001,0.0,0.0,0.0,12.031756,23.039999,241.59483,MKE
2023-01-09 00:00:00+00:00,42.94693194,-87.89706444,3.0,5.7675004,-5.1825,0.0,0.0,0.0,17.399586,27.72,238.8324,MKE
2023-01-10 00:00:00+00:00,42.94693194,-87.89706444,51.0,4.7675004,0.3175,0.2,0.0,1.0,14.05845,25.56,166.64528,MKE
2023-01-11 00:00:00+00:00,42.94693194,-87.89706444,51.0,5.5675,0.51750004,0.5,0.0,3.0,13.891522,24.48,169.04082,MKE
2023-01-12 00:00:00+00:00,42.94693194,-87.89706444,51.0,3.0674999,0.4675,0.1,0.0,1.0,29.947151,48.96,355.2168,MKE
2023-01-13 00:00:00+00:00,42.94693194,-87.89706444,71.0,2.0674999,-2.3325,0.7,0.14,6.0,31.32207,49.68,353.2799,MKE
2023-01-14 00:00:00+00:00,42.94693194,-87.89706444,3.0,0.7175,-5.5325,0.0,0.0,0.0,15.893093,26.64,262.57806,MKE
2023-01-15 00:00:00+00:00,42.94693194,-87.89706444,3.0,2.5175,-3.5325,0.0,0.0,0.0,29.157776,48.239998,171.85805,MKE
2023-01-16 00:00:00+00:00,42.94693194,-87.89706444,53.0,4.3675003,1.9675,3.3999999,0.0,10.0,29.827904,46.44,162.29659,MKE
2023-01-17 00:00:00+00:00,42.94693194,-87.89706444,51.0,6.7175,2.9675,1.0000001,0.0,6.0,30.652895,51.48,238.01422,MKE
2023-01-18 00:00:00+00:00,42.94693194,-87.89706444,3.0,2.5674999,0.3675,0.0,0.0,0.0,21.67487,39.96,315.0827,MKE
2023-01-19 00:00:00+00:00,42.94693194,-87.89706444,75.0,4.7675004,0.9675,8.9000025,2.1000001,14.0,36.0,58.32,80.09425,MKE
2023-01-20 00:00:00+00:00,42.94693194,-87.89706444,71.0,1.7674999,-1.0325,0.8000001,0.21000001,5.0,22.702845,36.36,299.62894,MKE
2023-01-21 00:00:00+00:00,42.94693194,-87.89706444,3.0,1.4175,-4.7324996,0.0,0.0,0.0,13.246826,27.359999,248.66447,MKE
2023-01-22 00:00:00+00:00,42.94693194,-87.89706444,71.0,-1.1325,-2.5325,2.0000002,1.4000002,18.0,14.440443,25.199999,331.05618,MKE
2023-01-23 00:00:00+00:00,42.94693194,-87.89706444,71.0,0.0675,-7.5325,0.1,0.07,1.0,24.408424,40.32,274.86047,MKE
2023-01-24 00:00:00+00:00,42.94693194,-87.89706444,3.0,4.0675,-4.7825,0.0,0.0,0.0,30.911821,49.32,250.7213,MKE
2023-01-25 00:00:00+00:00,42.94693194,-87.89706444,73.0,0.61749995,-2.2325,6.100001,4.13,14.0,25.929996,42.12,41.53426,MKE
2023-01-26 00:00:00+00:00,42.94693194,-87.89706444,71.0,0.2175,-2.0825,2.4000003,1.6800001,20.0,20.674158,32.760002,315.1491,MKE
2023-01-27 00:00:00+00:00,42.94693194,-87.89706444,71.0,2.2675,-10.5325,0.3,0.21000001,3.0,30.619051,52.92,214.72322,MKE
2023-01-28 00:00:00+00:00,42.94693194,-87.89706444,73.0,0.4175,-8.8325,3.6,2.5200002,8.0,25.919998,43.199997,291.072,MKE
2023-01-29 00:00:00+00:00,42.94693194,-87.89706444,75.0,-2.6825001,-7.5325,9.100001,6.3700004,13.0,28.241076,46.079998,0.79324937,MKE
2023-01-30 00:00:00+00:00,42.94693194,-87.89706444,71.0,-8.2325,-14.882501,0.1,0.07,1.0,22.104116,35.28,307.92896,MKE
2023-01-31 00:00:00+00:00,42.94693194,-87.89706444,3.0,-12.7825,-21.2825,0.0,0.0,0.0,16.179985,27.359999,269.54767,MKE
2023-02-01 00:00:00+00:00,42.94693194,-87.89706444,1.0,-5.1825,-16.0325,0.0,0.0,0.0,22.065973,36.719997,238.76274,MKE
2023-02-02 00:00:00+00:00,42.94693194,-87.89706444,1.0,-2.4825,-7.9824996,0.0,0.0,0.0,24.184391,38.88,258.69012,MKE
2023-02-03 00:00:00+00:00,42.94693194,-87.89706444,3.0,-8.1825,-19.9825,0.0,0.0,0.0,27.333935,43.199997,311.13104,MKE
2023-02-04 00:00:00+00:00,42.94693194,-87.89706444,3.0,1.8675,-17.7325,0.0,0.0,0.0,24.1388,37.8,205.92288,MKE
2023-02-05 00:00:00+00:00,42.94693194,-87.89706444,3.0,3.1175,-1.2825,0.0,0.0,0.0,22.961115,35.64,252.25293,MKE
2023-02-06 00:00:00+00:00,42.94693194,-87.89706444,3.0,1.1675,-8.7825,0.0,0.0,0.0,26.758923,42.48,168.174,MKE
2023-02-07 00:00:00+00:00,42.94693194,-87.89706444,3.0,7.8675003,1.5675,0.0,0.0,0.0,36.71294,57.96,222.01624,MKE
2023-02-08 00:00:00+00:00,42.94693194,-87.89706444,3.0,4.7675004,-5.3824997,0.0,0.0,0.0,14.658676,26.64,225.17053,MKE
2023-02-09 00:00:00+00:00,42.94693194,-87.89706444,73.0,1.9175,-0.73249996,18.8,1.4699999,14.0,35.770668,59.039997,33.797024,MKE
2023-02-10 00:00:00+00:00,42.94693194,-87.89706444,71.0,2.1175,-2.4825,0.90000004,0.07,7.0,28.820242,46.44,295.33475,MKE
2023-02-11 00:00:00+00:00,42.94693194,-87.89706444,0.0,7.0675,-5.2324996,0.0,0.0,0.0,26.009844,41.399998,236.48775,MKE
2023-02-12 00:00:00+00:00,42.94693194,-87.89706444,3.0,9.617499,-1.3825,0.0,0.0,0.0,18.899143,33.839996,238.29579,MKE
2023-02-13 00:00:00+00:00,42.94693194,-87.89706444,3.0,8.2175,0.0675,0.0,0.0,0.0,23.906818,38.519997,268.63608,MKE
2023-02-14 00:00:00+00:00,42.94693194,-87.89706444,51.0,7.6675,0.76750004,0.6,0.0,2.0,31.688177,48.96,179.52951,MKE
2023-02-15 00:00:00+00:00,42.94693194,-87.89706444,53.0,8.1675,4.5175004,1.0,0.0,3.0,44.208233,72.0,221.71661,MKE
2023-02-16 00:00:00+00:00,42.94693194,-87.89706444,75.0,2.0674999,-1.6825,9.2,6.51,10.0,43.22399,70.92,22.52915,MKE
2023-02-17 00:00:00+00:00,42.94693194,-87.89706444,75.0,-1.3825,-10.6825,4.5,3.15,6.0,38.773182,68.4,335.7701,MKE
2023-02-18 00:00:00+00:00,42.94693194,-87.89706444,3.0,3.9675,-8.6825,0.0,0.0,0.0,23.1774,37.079998,223.59732,MKE
