date,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,ARPT_ID
2023-01-01 00:00:00+00:00,45.58870886,-122.5968694,51.0,7.2860003,3.436,0.5,0.0,3.0,7.24486,14.04,47.31708,PDX
2023-01-02 00:00:00+00:00,45.58870886,-122.5968694,3.0,5.6359997,1.536,0.0,0.0,0.0,32.058193,57.96,89.44828,PDX
2023-01-03 00:00:00+00:00,45.58870886,-122.5968694,71.0,7.5860004,1.136,6.1000004,0.14,10.0,31.328272,58.32,88.5918,PDX
2023-01-04 00:00:00+00:00,45.58870886,-122.5968694,55.0,4.3859997,1.586,2.2,0.0,4.0,36.862663,72.0,84.89324,PDX
2023-01-05 00:00:00+00:00,45.58870886,-122.5968694,63.0,9.836,2.436,8.3,0.0,6.0,45.63914,84.24,84.450676,PDX
2023-01-06 00:00:00+00:00,45.58870886,-122.5968694,55.0,9.786,3.236,4.3999996,0.0,10.0,24.387177,42.48,122.74912,PDX
2023-01-07 00:00:00+00:00,45.58870886,-122.5968694,55.0,9.636001,5.686,5.2,0.0,18.0,24.162945,47.519997,87.87898,PDX
2023-01-08 00:00:00+00:00,45.58870886,-122.5968694,61.0,9.286,5.6359997,6.9,0.0,15.0,27.155552,48.6,111.85035,PDX
2023-01-09 00:00:00+00:00,45.58870886,-122.5968694,63.0,10.286,5.236,15.900001,0.0,14.0,30.703587,60.479996,105.22923,PDX
2023-01-10 00:00:00+00:00,45.58870886,-122.5968694,71.0,9.236,5.186,5.0,0.07,6.0,30.926489,59.039997,85.91825,PDX
2023-01-11 00:00:00+00:00,45.58870886,-122.5968694,61.0,9.286,4.486,6.0,0.0,7.0,28.442278,52.92,87.24247,PDX
2023-01-12 00:00:00+00:00,45.58870886,-122.5968694,61.0,8.686,5.5860004,18.3,0.0,22.0,29.88217,53.639996,89.53537,PDX
2023-01-13 00:00:00+00:00,45.58870886,-122.5968694,63.0,11.086,7.486,14.700001,0.0,13.0,25.099514,44.639996,90.38016,PDX
2023-01-14 00:00:00+00:00,45.58870886,-122.5968694,53.0,11.186,6.8859997,6.2000003,0.0,13.0,27.193705,50.399998,90.52249,PDX
