date,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,ARPT_ID
2023-01-01 00:00:00+00:00,33.67566194,-117.86823305,65.0,15.08,10.53,27.9,0.0,15.0,33.541878,60.120003,215.10803,SNA
2023-01-02 00:00:00+00:00,33.67566194,-117.86823305,3.0,14.83,6.1800003,0.0,0.0,0.0,15.39184,45.36,172.10196,SNA
2023-01-03 00:00:00+00:00,33.67566194,-117.86823305,53.0,14.58,10.38,7.0,0.0,22.0,20.929594,39.6,122.72121,SNA
2023-01-04 00:00:00+00:00,33.67566194,-117.86823305,61.0,16.23,13.78,4.9999995,0.0,12.0,20.833395,37.44,135.3187,SNA
2023-01-05 00:00:00+00:00,33.67566194,-117.86823305,63.0,16.929998,12.7300005,38.0,0.0,20.0,27.105392,55.44,165.80966,SNA
2023-01-06 00:00:00+00:00,33.67566194,-117.86823305,51.0,15.93,7.33,0.70000005,0.0,3.0,9.504273,35.28,28.300577,SNA
2023-01-07 00:00:00+00:00,33.67566194,-117.86823305,3.0,17.83,6.98,0.0,0.0,0.0,9.885262,19.8,112.932304,SNA
2023-01-08 00:00:00+00:00,33.67566194,-117.86823305,3.0,18.08,7.48,0.0,0.0,0.0,9.931042,21.24,164.61145,SNA
2023-01-09 00:00:00+00:00,33.67566194,-117.86823305,3.0,16.779999,12.13,0.0,0.0,0.0,21.659918,41.399998,155.10799,SNA
2023-01-10 00:00:00+00:00,33.67566194,-117.86823305,65.0,15.93,13.2300005,52.100006,0.0,20.0,33.48774,61.920002,168.14586,SNA
2023-01-11 00:00:00+00:00,33.67566194,-117.86823305,51.0,16.179998,7.63,0.1,0.0,1.0,11.966953,36.719997,161.56537,SNA
2023-01-12 00:00:00+00:00,33.67566194,-117.86823305,3.0,18.98,7.6800003,0.0,0.0,0.0,10.1887,17.64,23.135712,SNA
2023-01-13 00:00:00+00:00,33.67566194,-117.86823305,3.0,18.029999,9.7300005,0.0,0.0,0.0,10.195057,20.519999,137.59474,SNA
2023-01-14 00:00:00+00:00,33.67566194,-117.86823305,63.0,15.38,9.28,18.6,0.0,5.0,12.783802,28.08,138.12656,SNA
2023-01-15 00:00:00+00:00,33.67566194,-117.86823305,63.0,14.63,10.53,19.000004,0.0,19.0,22.159746,41.399998,215.71655,SNA
2023-01-16 00:00:00+00:00,33.67566194,-117.86823305,65.0,14.78,10.63,33.6,0.0,19.0,30.190672,55.079998,196.36792,SNA
2023-01-17 00:00:00+00:00,33.67566194,-117.86823305,53.0,13.93,6.63,1.1,0.0,4.0,18.359999,43.56,263.6453,SNA
2023-01-18 00:00:00+00:00,33.67566194,-117.86823305,3.0,14.78,5.28,0.0,0.0,0.0,11.019764,19.08,118.10936,SNA
2023-01-19 00:00:00+00:00,33.67566194,-117.86823305,3.0,14.58,5.9300003,0.0,0.0,0.0,15.034041,28.08,194.82658,SNA
2023-01-20 00:00:00+00:00,33.67566194,-117.86823305,53.0,16.279999,6.4300003,1.1,0.0,3.0,12.783802,27.359999,67.08907,SNA
2023-01-21 00:00:00+00:00,33.67566194,-117.86823305,0.0,16.73,5.6800003,0.0,0.0,0.0,13.493999,25.919998,21.648575,SNA
2023-01-22 00:00:00+00:00,33.67566194,-117.86823305,3.0,15.08,5.03,0.0,0.0,0.0,11.043261,25.56,123.51802,SNA
2023-01-23 00:00:00+00:00,33.67566194,-117.86823305,3.0,15.08,6.6800003,0.0,0.0,0.0,34.679794,61.56,61.852448,SNA
2023-01-24 00:00:00+00:00,33.67566194,-117.86823305,0.0,16.929998,5.33,0.0,0.0,0.0,10.661107,19.8,25.676762,SNA
2023-01-25 00:00:00+00:00,33.67566194,-117.86823305,0.0,22.279999,5.38,0.0,0.0,0.0,9.178235,21.599998,34.69522,SNA
2023-01-26 00:00:00+00:00,33.67566194,-117.86823305,0.0,19.98,9.9800005,0.0,0.0,0.0,29.07989,54.36,42.866966,SNA
2023-01-27 00:00:00+00:00,33.67566194,-117.86823305,0.0,20.63,5.73,0.0,0.0,0.0,9.779817,34.92,38.019047,SNA
2023-01-28 00:00:00+00:00,33.67566194,-117.86823305,3.0,18.13,5.53,0.0,0.0,0.0,20.240196,37.8,141.79086,SNA
2023-01-29 00:00:00+00:00,33.67566194,-117.86823305,51.0,14.83,10.18,1.2,0.0,7.0,21.518847,39.96,165.72273,SNA
2023-01-30 00:00:00+00:00,33.67566194,-117.86823305,63.0,13.43,8.63,17.7,0.0,22.0,12.7279215,38.519997,131.95665,SNA
2023-01-31 00:00:00+00:00,33.67566194,-117.86823305,53.0,16.529999,6.03,0.9,0.0,3.0,21.42227,41.039997,35.25912,SNA
2023-02-01 00:00:00+00:00,33.67566194,-117.86823305,0.0,19.679998,5.78,0.0,0.0,0.0,17.713316,33.839996,47.605778,SNA
2023-02-02 00:00:00+00:00,33.67566194,-117.86823305,3.0,17.98,5.98,0.0,0.0,0.0,7.7043357,25.56,164.59651,SNA
2023-02-03 00:00:00+00:00,33.67566194,-117.86823305,3.0,19.38,8.08,0.0,0.0,0.0,9.826088,19.44,154.79878,SNA
2023-02-04 00:00:00+00:00,33.67566194,-117.86823305,3.0,19.33,7.13,0.0,0.0,0.0,9.19939,21.96,195.06848,SNA
2023-02-05 00:00:00+00:00,33.67566194,-117.86823305,51.0,20.029999,8.9800005,0.4,0.0,3.0,19.083395,36.0,210.96365,SNA
2023-02-06 00:00:00+00:00,33.67566194,-117.86823305,1.0,18.429998,6.1800003,0.0,0.0,0.0,15.716793,37.44,255.4655,SNA
2023-02-07 00:00:00+00:00,33.67566194,-117.86823305,0.0,22.179998,8.93,0.0,0.0,0.0,18.335276,34.92,30.52722,SNA
2023-02-08 00:00:00+00:00,33.67566194,-117.86823305,3.0,21.23,6.78,0.0,0.0,0.0,13.397612,28.8,226.19344,SNA
2023-02-09 00:00:00+00:00,33.67566194,-117.86823305,0.0,26.88,7.48,0.0,0.0,0.0,9.114471,21.24,68.74933,SNA
2023-02-10 00:00:00+00:00,33.67566194,-117.86823305,3.0,25.929998,12.9800005,0.0,0.0,0.0,15.937878,32.760002,101.802414,SNA
2023-02-11 00:00:00+00:00,33.67566194,-117.86823305,51.0,21.029999,11.13,0.2,0.0,2.0,21.9718,45.0,188.03336,SNA
2023-02-12 00:00:00+00:00,33.67566194,-117.86823305,3.0,15.58,5.6800003,0.0,0.0,0.0,15.30741,37.079998,178.97704,SNA
2023-02-13 00:00:00+00:00,33.67566194,-117.86823305,63.0,17.23,7.63,4.5,0.0,4.0,16.279802,33.12,134.88605,SNA
2023-02-14 00:00:00+00:00,33.67566194,-117.86823305,51.0,15.08,11.2300005,1.2000002,0.0,9.0,18.947083,37.8,206.66907,SNA
2023-02-15 00:00:00+00:00,33.67566194,-117.86823305,51.0,16.679998,2.48,0.3,0.0,2.0,21.986542,38.519997,334.9963,SNA
