date,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,ARPT_ID
2023-01-01 00:00:00+00:00,43.11118111,-76.10632027,55.0,10.17,1.82,3.7,0.0,9.0,18.733839,38.88,263.99854,SYR
2023-01-02 00:00:00+00:00,43.11118111,-76.10632027,51.0,7.62,1.37,0.1,0.0,1.0,13.202726,30.599998,265.2144,SYR
2023-01-03 00:00:00+00:00,43.11118111,-76.10632027,61.0,4.62,-1.03,7.3999996,0.0,12.0,11.983188,23.4,70.85764,SYR
2023-01-04 00:00:00+00:00,43.11118111,-76.10632027,55.0,6.97,4.3199997,5.4,0.0,13.0,13.979871,25.919998,43.393982,SYR
2023-01-05 00:00:00+00:00,43.11118111,-76.10632027,63.0,10.0199995,3.02,16.9,0.0,6.0,17.429354,50.399998,286.80652,SYR
2023-01-06 00:00:00+00:00,43.11118111,-76.10632027,51.0,3.87,-0.53,0.5,0.0,5.0,10.739833,25.56,233.70204,SYR
2023-01-07 00:00:00+00:00,43.11118111,-76.10632027,51.0,3.17,-2.23,0.90000004,0.0,5.0,16.676977,37.44,277.1721,SYR
2023-01-08 00:00:00+00:00,43.11118111,-76.10632027,3.0,0.42000002,-5.23,0.0,0.0,0.0,11.165805,23.759998,317.30737,SYR
2023-01-09 00:00:00+00:00,43.11118111,-76.10632027,3.0,3.37,-5.23,0.0,0.0,0.0,16.954432,39.96,271.79413,SYR
2023-01-10 00:00:00+00:00,43.11118111,-76.10632027,73.0,1.12,-2.2800002,1.1,0.70000005,6.0,17.462784,37.079998,285.03387,SYR
2023-01-11 00:00:00+00:00,43.11118111,-76.10632027,3.0,3.52,-7.13,0.0,0.0,0.0,12.979984,30.599998,67.86129,SYR
2023-01-12 00:00:00+00:00,43.11118111,-76.10632027,73.0,7.12,-0.68,5.8,0.56,11.0,13.397612,27.72,86.79216,SYR
2023-01-13 00:00:00+00:00,43.11118111,-76.10632027,75.0,2.67,-2.13,22.600002,1.82,21.0,18.079027,41.039997,318.69907,SYR
