date,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,ARPT_ID
2023-01-01 00:00:00+00:00,41.58681666,-83.80782666,61.0,8.374,-1.276,1.8000001,0.0,2.0,21.273533,39.96,229.25822,TOL
2023-01-02 00:00:00+00:00,41.58681666,-83.80782666,3.0,8.374,5.774,0.0,0.0,0.0,10.8955765,19.8,4.5139127,TOL
2023-01-03 00:00:00+00:00,41.58681666,-83.80782666,63.0,15.024,4.574,11.799999,0.0,12.0,16.375053,30.239998,79.00009,TOL
2023-01-04 00:00:00+00:00,41.58681666,-83.80782666,61.0,13.824,7.574,5.2999997,0.0,9.0,20.12461,39.6,213.6901,TOL
2023-01-05 00:00:00+00:00,41.58681666,-83.80782666,51.0,5.774,1.724,0.6,0.0,4.0,24.20314,43.92,227.46243,TOL
2023-01-06 00:00:00+00:00,41.58681666,-83.80782666,71.0,3.674,-0.82600003,0.9000001,0.14,6.0,19.06301,37.8,248.51163,TOL
2023-01-07 00:00:00+00:00,41.58681666,-83.80782666,3.0,3.524,-1.926,0.0,0.0,0.0,14.168641,25.199999,283.0343,TOL
2023-01-08 00:00:00+00:00,41.58681666,-83.80782666,71.0,2.974,-4.626,0.1,0.07,1.0,8.825508,18.359999,65.40591,TOL
2023-01-09 00:00:00+00:00,41.58681666,-83.80782666,3.0,3.174,-5.126,0.0,0.0,0.0,18.58451,36.719997,251.63718,TOL
2023-01-10 00:00:00+00:00,41.58681666,-83.80782666,71.0,5.974,-2.826,0.2,0.14,1.0,14.264361,24.48,182.9653,TOL
2023-01-11 00:00:00+00:00,41.58681666,-83.80782666,51.0,9.024,-1.576,0.2,0.0,2.0,12.599998,21.599998,129.84851,TOL
2023-01-12 00:00:00+00:00,41.58681666,-83.80782666,61.0,7.424,2.424,7.4000006,0.0,12.0,27.288855,48.96,350.9568,TOL
2023-01-13 00:00:00+00:00,41.58681666,-83.80782666,51.0,1.974,-1.576,0.2,0.0,2.0,24.717085,48.6,344.2851,TOL
2023-01-14 00:00:00+00:00,41.58681666,-83.80782666,3.0,-0.82600003,-7.026,0.0,0.0,0.0,19.70815,35.64,337.99304,TOL
2023-01-15 00:00:00+00:00,41.58681666,-83.80782666,3.0,3.774,-5.926,0.0,0.0,0.0,11.620809,25.919998,171.51845,TOL
2023-01-16 00:00:00+00:00,41.58681666,-83.80782666,61.0,5.374,-3.376,2.7,0.0,3.0,18.514643,32.760002,148.04684,TOL
2023-01-17 00:00:00+00:00,41.58681666,-83.80782666,61.0,9.624,2.524,4.5,0.0,9.0,28.97944,54.36,218.24294,TOL
2023-01-18 00:00:00+00:00,41.58681666,-83.80782666,3.0,5.424,2.774,0.0,0.0,0.0,23.087763,41.760002,263.3649,TOL
2023-01-19 00:00:00+00:00,41.58681666,-83.80782666,63.0,12.574,2.174,24.3,0.0,14.0,28.772987,52.92,135.25847,TOL
2023-01-20 00:00:00+00:00,41.58681666,-83.80782666,71.0,5.974,1.624,2.1000001,0.14,9.0,31.487143,65.520004,262.4824,TOL
2023-01-21 00:00:00+00:00,41.58681666,-83.80782666,3.0,2.124,-3.726,0.0,0.0,0.0,16.62249,30.960001,247.88377,TOL
2023-01-22 00:00:00+00:00,41.58681666,-83.80782666,73.0,1.124,-2.876,2.8999999,2.03,8.0,10.144082,19.44,102.00023,TOL
2023-01-23 00:00:00+00:00,41.58681666,-83.80782666,71.0,1.474,-1.876,1.0000001,0.7,10.0,22.657131,45.0,291.72714,TOL
2023-01-24 00:00:00+00:00,41.58681666,-83.80782666,3.0,2.874,-3.826,0.0,0.0,0.0,24.766848,43.92,239.84377,TOL
2023-01-25 00:00:00+00:00,41.58681666,-83.80782666,75.0,1.124,-0.47599998,17.0,11.619999,16.0,21.129885,41.039997,70.81718,TOL
2023-01-26 00:00:00+00:00,41.58681666,-83.80782666,73.0,0.374,-2.276,2.5000002,1.75,17.0,24.023088,43.92,271.0588,TOL
2023-01-27 00:00:00+00:00,41.58681666,-83.80782666,71.0,0.62399995,-7.726,0.90000004,0.63,6.0,30.430117,54.36,220.42352,TOL
2023-01-28 00:00:00+00:00,41.58681666,-83.80782666,71.0,1.824,-5.326,0.3,0.14,2.0,31.311722,56.16,242.31383,TOL
2023-01-29 00:00:00+00:00,41.58681666,-83.80782666,53.0,3.924,-3.626,1.8,0.0,6.0,21.650938,37.8,268.8136,TOL
2023-01-30 00:00:00+00:00,41.58681666,-83.80782666,73.0,-1.676,-5.126,1.7,1.19,9.0,15.617529,30.599998,317.3984,TOL
2023-01-31 00:00:00+00:00,41.58681666,-83.80782666,3.0,-5.976,-16.976,0.0,0.0,0.0,14.689588,27.72,303.8371,TOL
2023-02-01 00:00:00+00:00,41.58681666,-83.80782666,3.0,-4.476,-14.876,0.0,0.0,0.0,13.281023,27.0,249.92516,TOL
2023-02-02 00:00:00+00:00,41.58681666,-83.80782666,3.0,1.674,-7.926,0.0,0.0,0.0,24.014996,47.16,234.6051,TOL
2023-02-03 00:00:00+00:00,41.58681666,-83.80782666,3.0,-1.576,-13.326,0.0,0.0,0.0,24.703974,45.0,318.06857,TOL
