date,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,ARPT_ID
2024-01-01 00:00:00+00:00,39.71730555,-86.29463888,3.0,4.3525,-1.5475,0.0,0.0,0.0,16.58346,31.68,302.8837,IND
2024-01-02 00:00:00+00:00,39.71730555,-86.29463888,3.0,3.2524998,-4.4474998,0.0,0.0,0.0,17.22742,36.719997,250.68445,IND
2024-01-03 00:00:00+00:00,39.71730555,-86.29463888,3.0,3.8025,-3.7475002,0.0,0.0,0.0,14.84318,29.519999,245.31055,IND
2024-01-04 00:00:00+00:00,39.71730555,-86.29463888,3.0,2.3525,-1.6975,0.0,0.0,0.0,12.074766,25.919998,333.59042,IND
2024-01-05 00:00:00+00:00,39.71730555,-86.29463888,3.0,3.3025,-5.6475,0.0,0.0,0.0,11.753876,26.28,111.413025,IND
2024-01-06 00:00:00+00:00,39.71730555,-86.29463888,73.0,3.2524998,-0.69750005,3.5,2.45,10.0,12.849528,23.759998,102.71933,IND
2024-01-07 00:00:00+00:00,39.71730555,-86.29463888,71.0,2.6025,0.2525,1.9000002,0.48999998,13.0,24.087738,47.16,261.03424,IND
2024-01-08 00:00:00+00:00,39.71730555,-86.29463888,51.0,4.8025002,-3.9475,0.1,0.0,1.0,20.390114,40.68,131.70705,IND
2024-01-09 00:00:00+00:00,39.71730555,-86.29463888,75.0,8.4025,1.3025,28.7,3.9199998,21.0,28.019936,56.88,131.29294,IND
2024-01-10 00:00:00+00:00,39.71730555,-86.29463888,71.0,4.0025,0.45250002,2.1000001,0.42000002,9.0,27.804028,52.92,249.72687,IND
2024-01-11 00:00:00+00:00,39.71730555,-86.29463888,73.0,5.9025,-2.4475,0.6,0.42000002,2.0,22.314192,44.639996,221.55359,IND
2024-01-12 00:00:00+00:00,39.71730555,-86.29463888,73.0,5.6025,-0.4475,22.6,0.77,11.0,34.37387,65.159996,123.45955,IND
2024-01-13 00:00:00+00:00,39.71730555,-86.29463888,71.0,4.6025,-7.6974998,1.2000002,0.63,12.0,35.377213,70.92,246.82535,IND
2024-01-14 00:00:00+00:00,39.71730555,-86.29463888,71.0,-4.9474998,-19.3475,0.70000005,0.49,5.0,26.319422,50.76,265.57202,IND
2024-01-15 00:00:00+00:00,39.71730555,-86.29463888,3.0,-11.0975,-19.0475,0.0,0.0,0.0,10.853866,23.4,277.41745,IND
2024-01-16 00:00:00+00:00,39.71730555,-86.29463888,71.0,-10.0475,-15.5475,1.0,0.7,8.0,17.935081,37.8,273.94513,IND
2024-01-17 00:00:00+00:00,39.71730555,-86.29463888,2.0,-1.3974999,-14.6475,0.0,0.0,0.0,22.691423,46.44,225.07184,IND
2024-01-18 00:00:00+00:00,39.71730555,-86.29463888,71.0,0.55249995,-5.6475,0.3,0.21000001,3.0,17.148247,32.039997,210.66805,IND
2024-01-19 00:00:00+00:00,39.71730555,-86.29463888,73.0,-2.5475001,-9.5475,3.1999998,2.1,11.0,24.079666,49.68,310.19604,IND
2024-01-20 00:00:00+00:00,39.71730555,-86.29463888,3.0,-7.9474998,-16.4475,0.0,0.0,0.0,16.92383,34.56,289.69873,IND
2024-01-21 00:00:00+00:00,39.71730555,-86.29463888,3.0,-2.6475,-15.3975,0.0,0.0,0.0,10.829958,24.48,217.55376,IND
