date,latitude,longitude,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,ARPT_ID
2024-01-01 00:00:00+00:00,43.6456435,-70.30861636,3.0,0.3325,-4.2175,0.0,0.0,0.0,10.464798,23.039999,1.8475846,PWM
2024-01-02 00:00:00+00:00,43.6456435,-70.30861636,0.0,2.8825,-6.9175,0.0,0.0,0.0,9.826088,18.0,287.2096,PWM
2024-01-03 00:00:00+00:00,43.6456435,-70.30861636,3.0,4.3325,-4.4175,0.0,0.0,0.0,12.224107,18.72,273.66183,PWM
2024-01-04 00:00:00+00:00,43.6456435,-70.30861636,51.0,5.7825,-3.1175,0.1,0.0,1.0,19.346441,46.44,280.79306,PWM
2024-01-05 00:00:00+00:00,43.6456435,-70.30861636,3.0,-1.7175,-7.7175,0.0,0.0,0.0,16.73516,37.079998,308.13193,PWM
2024-01-06 00:00:00+00:00,43.6456435,-70.30861636,3.0,-1.4175,-5.5675,0.0,0.0,0.0,15.7908325,36.36,359.48392,PWM
2024-01-07 00:00:00+00:00,43.6456435,-70.30861636,75.0,-2.8675,-6.3175,18.5,12.95,22.0,22.127556,48.6,29.382767,PWM
2024-01-08 00:00:00+00:00,43.6456435,-70.30861636,73.0,-1.0675,-9.867499,0.6,0.42000002,3.0,18.089775,38.519997,313.11597,PWM
2024-01-09 00:00:00+00:00,43.6456435,-70.30861636,3.0,1.8825,-14.4675,0.0,0.0,0.0,12.738099,24.48,317.58957,PWM
2024-01-10 00:00:00+00:00,43.6456435,-70.30861636,75.0,10.9325,1.5325,47.5,3.2200003,15.0,44.208233,96.12,155.95793,PWM
2024-01-11 00:00:00+00:00,43.6456435,-70.30861636,3.0,4.6324997,-1.1675,0.0,0.0,0.0,20.345573,42.12,258.24103,PWM
2024-01-12 00:00:00+00:00,43.6456435,-70.30861636,3.0,4.3325,-2.4175,0.0,0.0,0.0,12.6462,30.239998,274.1671,PWM
2024-01-13 00:00:00+00:00,43.6456435,-70.30861636,73.0,11.632501,-0.1675,24.699999,0.42000002,10.0,35.309372,74.159996,117.334,PWM
