Dest,Delay_Probability
ABE,0.08260161572550764
ABI,0.1403522444896247
ABQ,0.04440976906661211
ABR,0.04214172878949237
ABY,0.09103960622710623
ACK,0.07595963052699045
ACT,0.15443024494142707
ACV,0.039429964579377974
ACY,0.05304815023896847
AEX,0.0953420100235803
AGS,0.13798444776768992
ALB,0.057050097580908336
ALO,0.10011927582534612
ALS,0.06573770491803278
ALW,0.07080750798722045
AMA,0.06316767744647858
APN,0.04647133997368916
ART,0.1330937167199148
ASE,0.09800507952144992
ATL,0.10312291326184822
ATY,0.05264336317188226
AUS,0.05470186544062831
AVP,0.10472441834615809
AZO,0.12784636024742943
BDL,0.06646743135467915
BFF,0.026193290734824286
BFL,0.04509869707428613
BGM,0.09643237486687965
BGR,0.04463996794896983
BIS,0.07213502535972575
BJI,0.09980830670926517
BLI,0.014736387013508306
BLV,0.015723270440251572
BMI,0.07891325452318174
BNA,0.053872919782137964
BOI,0.05533271204072603
BOS,0.09704676950888944
BPT,0.0966717632739997
BQK,0.1095527156549521
BRD,0.10026091586794462
BRO,0.06030937167199148
BTM,0.07859424920127796
BTR,0.07432836661120354
BTV,0.058824131160940554
BUF,0.06649245691185138
BUR,0.03215124958280194
BWI,0.05796348574138822
CAK,0.06187337851119806
CDC,0.09386281588447654
CHO,0.12085491571968048
CHS,0.05306271040034402
CID,0.049188775126719694
CIU,0.05635782747603834
CKB,0.02611821086261981
CLE,0.06709081309358542
CLL,0.09405360195616838
CLT,0.1125448323014482
CMH,0.05949590583736906
CMI,0.15772208605664487
CMX,0.04733226837060703
CNY,0.05258733567275965
COD,0.066207380360735
COS,0.058021678444066936
COU,0.1224791444799432
CPR,0.07469831127339116
CRP,0.10779963948973931
CRW,0.06164667109595734
CSG,0.02398722044728435
CVG,0.06512885317978707
CWA,0.12400492783827834
DAB,0.043952433340005585
DAL,0.033555986869301654
DAY,0.09346270284966321
DBQ,0.17880208333333336
DCA,0.07920503121688004
DEN,0.08406806039485588
DFW,0.1442931783952068
DHN,0.11264962726304581
DIK,0.12378700745473908
DLH,0.12122864467073863
DRO,0.04809052183173589
DRT,0.08416377314814813
DTW,0.09765068652169778
EAR,0.05265821912753532
EAT,0.032843450479233226
